order_id,order_date,ship_date,customer_id,product_id,region,category,sub_category,quantity,sales,discount,profit
NM202401461113,2024-01-27,2024-02-01,CU0049,PR522,central,office supplies,Storage,1,$41.69,0.0,19.67
NM202401729507,2024-01-29,2024-01-31,CU0229,PR507,CENTRAL,Technology,Machines,4,$170.76,0.0,91.36
NM202401472052,2024-01-08,2024-01-13,CU0108,PR501,east,technology,Phones,1,$728.04,0.3,14.63
NM202401384236,2024-01-22,2024-01-27,CU0220,PR503,CENTRAL,Technology,Phones,7,$921.60,0.15,
NM202401487969,"Jan 04, 2024","Jan 07, 2024",CU0213,PR501,SOUTH,technology,Phones,2,"$2,080.12",0.0,653.3
NM202401286944,2024-01-02,2024-01-06,CU0005,PR508,East,TECHNOLOGY,Machines,1,$195.03,0.15,76.79
NM202401278618,2024-01-20,2024-01-25,CU0189,PR506,east,TECHNOLOGY,Accessories,2,"$1,046.08",0.2,389.52
NM202401543265,30-Jan-2024,31-Jan-2024,CU0124,PR505,EAST,Technology,Accessories,3,$495.31,0.15,157.75
NM202401161347,09-Jan-2024,13-Jan-2024,CU0011,PR523,West ,OFFICE SUPPLIES,Art,7,$303.63,0.15,33.08
NM202401398136,2024-01-16,2024-01-18,CU0184,PR519,east,Office Supplies,Paper,4,$45.04,0.0,16.28
NM202401671338,2024-01-11,2024-01-14,CU0034,PR506, East,Technology,Accessories,2,"$1,307.60",0.0,651.04
NM202401927887,2024-01-18,2024-01-20,CU0160,PR502, South,technology,Phones,8,"$2,537.60",0.0,1238.08
NM202401361834,2024-01-27,2024-02-03,CU0023,PR509,Central,TECHNOLOGY,Machines,1,$529.98,0.2,193.77
NM202401529014,2024-01-12,2024-01-19,CU0051,PR524,SOUTH,OFFICE SUPPLIES,Art,4,$338.04,0.0,74.28
NM202401299657,2024-01-17,2024-01-23,CU0095,PR524,SOUTH,OFFICE SUPPLIES,Art,4,$338.04,0.0,74.28
NM202401259082,2024-01-25,2024-01-29,CU0129,PR514, South,furniture,Bookcases,8,"$1,907.78",0.1,627.54
NM202401117079,2024-01-09,2024-01-14,CU0074,PR506, Central,Technology,Accessories,8,"$4,184.32",0.2,1558.08
NM202401303427,2024-01-04,2024-01-10,CU0087,PR501,SOUTH,Technology,Phones,5,"$4,160.24",0.2,593.19
NM202401103230,2024-01-18,2024-01-20,CU0117,PR524, South,Office Supplies,Art,7,$532.41,0.1,70.83
NM202401933514,2024-01-20,2024-01-24,CU0098,PR518,central,office supplies,Paper,3,$142.06,0.3,40.06
NM202401616868,14-Jan-2024,16-Jan-2024,CU0080,PR524,south,office supplies,Art,4,$338.04,0.0,74.28
NM202401695119,24-Jan-2024,27-Jan-2024,CU0098,PR514,Central ,furniture,Bookcases,8,"$1,907.78",0.1,627.54
NM202401955284,2024-01-10,2024-01-11,CU0220,PR513,central,Furniture,Tables,6,"$1,371.82",0.1,195.64
NM202401870835,2024-01-11,2024-01-18,CU0226,PR516,east,OFFICE SUPPLIES,Binders,1,$8.19,0.15,3.31
NM202401651775,2024-01-29,2024-01-31,CU0048,PR506,west,Technology,Accessories,2,$915.32,0.3,258.76
NM202401823645,2024-01-03,2024-01-09,CU0197,PR501,West ,Technology,Phones,2,"$2,080.12",0.0,653.3
NM202401739206,2024-01-21,2024-01-23,CU0236,PR503,South ,technology,Phones,6,$836.41,0.1,247.87
NM202401643445,2024-01-31,2024-02-01,CU0178,PR502,West,TECHNOLOGY,Phones,1,$317.20,0.0,154.76
